2023-05-10\ICS-1414-R\logs\icsLog.txt:[ICS] [05/10/23 13:47:25] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 16. 	Mean DeltaTime = 136. 	Threshold = 50. 	Count = 195650. 	TimeStamp(hh:mm:ss) = 7:42:47.436627
2023-05-10\ICS-1415-A\logs\icsLog.txt:[ICS] [05/10/23 11:01:34] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 13. 	Mean DeltaTime = 4280. 	Threshold = 50. 	Count = 2573. 	TimeStamp(hh:mm:ss) = 3:11:34.383682
2023-05-11\ICS-1412\logs\icsLog.txt:[ICS] [05/11/23 06:14:12] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 2241. 	Threshold = 50. 	Count = 1226. 	TimeStamp(hh:mm:ss) = 0:48:8.709188
2023-05-11\ICS-1414-R\logs\icsLog.txt:[ICS] [05/11/23 10:00:13] (I) Signal DPGP2, 	Rising front 	Current DeltaTime = 21. 	Mean DeltaTime = 518. 	Threshold = 200. 	Count = 29437. 	TimeStamp(hh:mm:ss) = 4:25:8.841193
2023-05-11\ICS-1414-R\logs\icsLog.txt:[ICS] [05/11/23 10:00:14] (I) Signal DP3W, 	Rising front 	Current DeltaTime = 154. 	Mean DeltaTime = 518. 	Threshold = 200. 	Count = 29437. 	TimeStamp(hh:mm:ss) = 4:25:9.001647
2023-05-12\ICS-1412\logs\icsLog.txt:[ICS] [05/12/23 05:51:58] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 8268. 	Threshold = 50. 	Count = 190. 	TimeStamp(hh:mm:ss) = 0:27:43.961757
2023-05-15\ICS-1414-R\logs\icsLog.txt:[ICS] [05/15/23 19:39:03] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 47. 	Mean DeltaTime = 195. 	Threshold = 50. 	Count = 247062. 	TimeStamp(hh:mm:ss) = 13:59:16.771849
2023-05-17\ICS-1412\logs\icsLog.txt:[ICS] [05/17/23 11:38:24] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 7412. 	Threshold = 50. 	Count = 2930. 	TimeStamp(hh:mm:ss) = 6:17:28.588608
2023-05-18\ICS-1412\logs\icsLog.txt:[ICS] [05/18/23 06:19:49] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 860. 	Threshold = 50. 	Count = 3786. 	TimeStamp(hh:mm:ss) = 0:57:1.232784
2023-05-19\ICS-1412\logs\icsLog.txt:[ICS] [05/19/23 05:52:12] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 11542. 	Threshold = 50. 	Count = 122. 	TimeStamp(hh:mm:ss) = 0:24:52.350546
2023-05-23\ICS-1412\logs\icsLog.txt:[ICS] [05/23/23 06:03:52] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 3851. 	Threshold = 50. 	Count = 550. 	TimeStamp(hh:mm:ss) = 0:37:11.927367
2023-05-24\ICS-1412\logs\icsLog.txt:[ICS] [05/24/23 05:56:55] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 2197. 	Threshold = 50. 	Count = 862. 	TimeStamp(hh:mm:ss) = 0:33:18.618222
